fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_099,sham,clutch_C,4.647061103131185,6.249485233046478,5.821566591496898,103.24,98.12,105.08,4.647061103131185,103.24,1.6024241299152928,1.1745054883657131,0,0.63,1,0
zf_100,sham,clutch_C,8.027030274986897,10.839765172650953,9.633793834375128,97.95,94.57,101.71,8.027030274986897,97.95,2.812734897664056,1.6067635593882308,0,0.36,0,0
zf_101,sham,clutch_C,7.643542815781457,8.370049743964183,13.931372997215531,113.86,106.15,113.83,7.643542815781457,113.86,0.7265069281827259,6.2878301814340745,0,0.07,0,0
zf_102,sham,clutch_C,4.804095225060766,2.83809342460208,3.41116295355509,99.09,94.04,101.8,4.804095225060766,99.09,-1.9660018004586859,-1.3929322715056758,0,0.73,0,0
zf_103,sham,clutch_C,10.538901168300521,5.340349533025994,6.737472550224939,105.85,89.8,95.4,10.538901168300521,105.85,-5.198551635274527,-3.8014286180755823,0,0.28,0,0
zf_104,sham,clutch_C,7.637199712183377,6.3708424098157534,7.079927014547381,101.41,95.97,96.05,7.637199712183377,101.41,-1.2663573023676236,-0.5572726976359963,0,0.09,1,0
zf_105,sham,clutch_C,5.715207170284605,8.646249883155077,5.010316871382119,97.76,111.39,102.61,5.715207170284605,97.76,2.9310427128704726,-0.7048902989024857,0,0.23,0,0
zf_106,low_impact,clutch_C,5.6934920178299935,8.271023818113465,5.632085859320371,99.76,93.97,98.99,5.6934920178299935,99.76,2.577531800283471,-0.061406158509622166,0,0.11,1,0
zf_107,low_impact,clutch_C,5.673496551845707,7.602104577336309,4.601966046719049,99.12,94.47,105.63,5.673496551845707,99.12,1.9286080254906022,-1.071530505126658,1,4.41,1,0
zf_108,low_impact,clutch_C,6.3100955802135035,5.863722609372091,3.892448115026127,102.36,95.55,102.25,6.3100955802135035,102.36,-0.4463729708414128,-2.4176474651873763,0,0.68,1,0
zf_109,low_impact,clutch_C,6.483735337443188,11.801150667142092,9.006869747305661,119.32,88.03,100.86,6.483735337443188,119.32,5.317415329698904,2.5231344098624726,0,0.25,1,0
zf_110,low_impact,clutch_C,7.676092250994755,6.208829110554999,3.3331767748001426,114.51,92.87,113.28,7.676092250994755,114.51,-1.4672631404397567,-4.342915476194612,0,1.54,0,0
zf_111,low_impact,clutch_C,6.650043598707777,7.996212353858901,6.6672888275403395,107.43,88.43,100.68,6.650043598707777,107.43,1.3461687551511243,0.01724522883256263,1,6.6,0,0
zf_112,low_impact,clutch_C,6.496158230106371,10.060544921141595,7.097615952542973,100.22,87.1,106.35,6.496158230106371,100.22,3.5643866910352244,0.601457722436602,0,0.08,0,0
zf_113,low_impact,clutch_C,7.776097730479624,12.301686869024856,9.247152429066594,110.44,95.92,103.05,7.776097730479624,110.44,4.525589138545231,1.4710546985869692,1,2.91,0,0
zf_114,low_impact,clutch_C,4.048583495850621,10.252515663683935,4.159276564996451,105.66,87.58,97.08,4.048583495850621,105.66,6.203932167833314,0.11069306914582988,0,1.77,0,0
zf_115,low_impact,clutch_C,4.902727008670047,7.64225208846587,4.013229332888456,100.34,91.11,102.02,4.902727008670047,100.34,2.739525079795823,-0.8894976757815911,0,1.2,0,0
zf_116,low_impact,clutch_C,7.102309950957369,10.863295835590186,9.915023582305658,97.43,91.79,95.59,7.102309950957369,97.43,3.7609858846328175,2.812713631348289,0,0.66,1,0
zf_118,low_impact,clutch_C,4.78349542718482,10.594730085334875,6.331716662157464,104.17,91.41,99.14,4.78349542718482,104.17,5.811234658150055,1.5482212349726439,0,0.22,0,0
zf_119,low_impact,clutch_C,4.666055581769679,15.381448448718361,7.81827528536694,102.35,94.04,94.41,4.666055581769679,102.35,10.715392866948683,3.152219703597261,0,0.14,0,0
zf_120,low_impact,clutch_C,4.580818479453609,8.73540788442026,9.72469007738425,104.82,87.69,109.32,4.580818479453609,104.82,4.154589404966651,5.143871597930642,0,0.15,1,0
zf_121,high_impact,clutch_C,6.413435839535273,3.7383452163560604,5.411065005660674,101.69,60.42,83.98,6.413435839535273,101.69,-2.6750906231792126,-1.0023708338745987,1,8.73,0,1
zf_123,high_impact,clutch_C,5.973218298764796,5.0840054201368945,10.843708587261021,102.79,63.35,81.93,5.973218298764796,102.79,-0.8892128786279017,4.870490288496225,1,6.79,1,1
